precinct,simp_race,estimate,units
410050122,Two or more races:,215.62389199999998,People
410050122,White alone,2338.736145,People
410050124,American Indian and Alaska Native alone,13.608645,People
410050124,Asian alone,75.655108,People
410050124,Black or African American alone,3.466018,People
410050124,Hispanic or Latinx,220.211745,People
410050124,Native Hawaiian and Other Pacific Islander alone,0,People
410050124,Some other race alone,0,People
410050124,Two or more races:,149.369664,People
410050124,White alone,1477.297993,People
410050125,American Indian and Alaska Native alone,15.062189,People
410050125,Asian alone,43.480723,People
410050125,Black or African American alone,23.923371,People
410050125,Hispanic or Latinx,259.164942,People
410050125,Native Hawaiian and Other Pacific Islander alone,0,People
410050125,Some other race alone,0,People
410050125,Two or more races:,79.236986,People
410050125,White alone,1341.748541,People
410050130,American Indian and Alaska Native alone,10.037952,People
410050130,Asian alone,231.086893,People
410050130,Black or African American alone,47.63733,People
410050130,Hispanic or Latinx,151.267256,People
410050130,Native Hawaiian and Other Pacific Islander alone,0,People
410050130,Some other race alone,0,People
410050130,Two or more races:,185.088156,People
410050130,White alone,2443.4534869999998,People
410050131,American Indian and Alaska Native alone,16.305263,People
410050131,Asian alone,217.85809799999998,People
410050131,Black or African American alone,53.578569,People
410050131,Hispanic or Latinx,120.302263,People
410050131,Native Hawaiian and Other Pacific Islander alone,0,People
410050131,Some other race alone,0.036697999999999995,People
410050131,Two or more races:,143.17293600000002,People
410050131,White alone,1623.075943,People
410050132,American Indian and Alaska Native alone,24.234492,People
410050132,Asian alone,275.712964,People
410050132,Black or African American alone,121.47811499999999,People
410050132,Hispanic or Latinx,256.75088,People
410050132,Native Hawaiian and Other Pacific Islander alone,0,People
410050132,Some other race alone,3.824458,People
410050132,Two or more races:,243.55258800000001,People
410050132,White alone,2712.313685,People
410050133,American Indian and Alaska Native alone,5.088562,People
410050133,Asian alone,170.40779,People
410050133,Black or African American alone,54.735236,People
410050133,Hispanic or Latinx,164.06642399999998,People
410050133,Native Hawaiian and Other Pacific Islander alone,0,People
410050133,Some other race alone,9.447768,People
410050133,Two or more races:,181.012566,People
410050133,White alone,2285.137498,People
410050134,American Indian and Alaska Native alone,3.0586160000000002,People
410050134,Asian alone,45.540982,People
410050134,Black or African American alone,6.791707000000001,People
410050134,Hispanic or Latinx,147.734603,People
410050134,Native Hawaiian and Other Pacific Islander alone,9.541855,People
410050134,Some other race alone,3.99042,People
410050134,Two or more races:,155.432198,People
410050134,White alone,1357.199149,People
410050135,American Indian and Alaska Native alone,0.346281,People
410050135,Asian alone,52.654512,People
410050135,Black or African American alone,3.3598459999999997,People
410050135,Hispanic or Latinx,184.15974799999998,People
410050135,Native Hawaiian and Other Pacific Islander alone,5.075059,People
410050135,Some other race alone,3.310172,People
410050135,Two or more races:,160.948392,People
410050135,White alone,1865.928091,People
410050151,American Indian and Alaska Native alone,0,People
410050151,Asian alone,374.740859,People
410050151,Black or African American alone,2.782242,People
410050151,Hispanic or Latinx,416.54205,People
410050151,Native Hawaiian and Other Pacific Islander alone,0,People
410050151,Some other race alone,0,People
410050151,Two or more races:,647.805274,People
410050151,White alone,5012.612181,People
410050152,American Indian and Alaska Native alone,0.003003,People
410050152,Asian alone,30.886621,People
410050152,Black or African American alone,2.527042,People
410050152,Hispanic or Latinx,41.387486,People
410050152,Native Hawaiian and Other Pacific Islander alone,6.05459,People
410050152,Some other race alone,0.01362,People
410050152,Two or more races:,56.527148,People
410050152,White alone,1103.277816,People
410050153,American Indian and Alaska Native alone,11.54961,People
410050153,Asian alone,207.365525,People
410050153,Black or African American alone,56.997332,People
410050153,Hispanic or Latinx,120.09566,People
410050153,Native Hawaiian and Other Pacific Islander alone,26.179116,People
410050153,Some other race alone,0,People
410050153,Two or more races:,131.90908399999998,People
410050153,White alone,1419.747805,People
410050154,American Indian and Alaska Native alone,18.887211,People
410050154,Asian alone,129.356661,People
410050154,Black or African American alone,19.270095,People
410050154,Hispanic or Latinx,65.475862,People
410050154,Native Hawaiian and Other Pacific Islander alone,28.314335,People
410050154,Some other race alone,64.03086,People
410050154,Two or more races:,237.021194,People
410050154,White alone,2153.314307,People
410050155,American Indian and Alaska Native alone,0.008155,People
410050155,Asian alone,89.920366,People
410050155,Black or African American alone,2.299994,People
410050155,Hispanic or Latinx,54.917743,People
410050155,Native Hawaiian and Other Pacific Islander alone,0,People
410050155,Some other race alone,0,People
410050155,Two or more races:,109.296302,People
410050155,White alone,1353.539278,People
410050156,American Indian and Alaska Native alone,0.84075,People
410050156,Asian alone,54.024125,People
410050156,Black or African American alone,4.538664,People
410050156,Hispanic or Latinx,118.112201,People
410050156,Native Hawaiian and Other Pacific Islander alone,0.97343,People
410050156,Some other race alone,2.4441740000000003,People
410050156,Two or more races:,113.514526,People
410050156,White alone,1578.1019150000002,People
410050157,American Indian and Alaska Native alone,15.255659999999999,People
410050157,Asian alone,138.775284,People
410050157,Black or African American alone,10.427522999999999,People
410050157,Hispanic or Latinx,40.37619,People
410050157,Native Hawaiian and Other Pacific Islander alone,0,People
410050157,Some other race alone,17.090444,People
410050157,Two or more races:,143.69644,People
410050157,White alone,1634.787751,People
410050158,American Indian and Alaska Native alone,46.848083,People
410050158,Asian alone,121.655655,People
410050158,Black or African American alone,4.991169,People
410050158,Hispanic or Latinx,125.305458,People
410050158,Native Hawaiian and Other Pacific Islander alone,0,People
410050158,Some other race alone,4.614038,People
410050158,Two or more races:,193.670602,People
410050158,White alone,1517.8708570000001,People
410050159,American Indian and Alaska Native alone,0.90171,People
410050159,Asian alone,171.1837,People
410050159,Black or African American alone,33.141459,People
410050159,Hispanic or Latinx,150.50889999999998,People
410050159,Native Hawaiian and Other Pacific Islander alone,2.043876,People
410050159,Some other race alone,0,People
410050159,Two or more races:,325.685586,People
410050159,White alone,1635.046595,People
410050160,American Indian and Alaska Native alone,0.450516,People
410050160,Asian alone,178.197627,People
410050160,Black or African American alone,16.059741000000002,People
410050160,Hispanic or Latinx,116.084083,People
410050160,Native Hawaiian and Other Pacific Islander alone,0.001326,People
410050160,Some other race alone,16.81797,People
410050160,Two or more races:,292.294886,People
410050160,White alone,3287.324457,People
410050201,American Indian and Alaska Native alone,10.200264,People
410050201,Asian alone,284.236426,People
410050201,Black or African American alone,105.02899,People
410050201,Hispanic or Latinx,457.067222,People
410050201,Native Hawaiian and Other Pacific Islander alone,0,People
410050201,Some other race alone,13.577498,People
410050201,Two or more races:,365.594516,People
410050201,White alone,2810.050502,People
410050202,American Indian and Alaska Native alone,26.751951,People
410050202,Asian alone,84.693857,People
410050202,Black or African American alone,32.137150999999996,People
410050202,Hispanic or Latinx,344.859203,People
410050202,Native Hawaiian and Other Pacific Islander alone,101.370155,People
410050202,Some other race alone,0.045172000000000004,People
410050202,Two or more races:,382.375724,People
410050202,White alone,2439.962916,People
410050203,American Indian and Alaska Native alone,0,People
410050203,Asian alone,52.11734,People
410050203,Black or African American alone,0.204825,People
410050203,Hispanic or Latinx,50.082150000000006,People
410050203,Native Hawaiian and Other Pacific Islander alone,0.040965,People
410050203,Some other race alone,0,People
410050203,Two or more races:,9.213486000000001,People
410050203,White alone,1180.72172,People
410050204,American Indian and Alaska Native alone,2.9788259999999998,People
410050204,Asian alone,135.912861,People
410050204,Black or African American alone,21.954715,People
410050204,Hispanic or Latinx,398.663549,People
410050204,Native Hawaiian and Other Pacific Islander alone,1.84012,People
410050204,Some other race alone,2.0958289999999997,People
410050204,Two or more races:,264.6048,People
410050204,White alone,2278.132159,People
410050251,American Indian and Alaska Native alone,6.57e-4,People
410050251,Asian alone,292.470029,People
410050251,Black or African American alone,7.006507,People
410050251,Hispanic or Latinx,286.38310700000005,People
410050251,Native Hawaiian and Other Pacific Islander alone,0,People
410050251,Some other race alone,0,People
410050251,Two or more races:,213.650686,People
410050251,White alone,2317.148286,People
410050252,American Indian and Alaska Native alone,0.29440900000000003,People
410050252,Asian alone,332.88349,People
410050252,Black or African American alone,29.971357,People
410050252,Hispanic or Latinx,701.3670460000001,People
410050252,Native Hawaiian and Other Pacific Islander alone,9.928796,People
410050252,Some other race alone,1.1e-5,People
410050252,Two or more races:,299.269246,People
410050252,White alone,4140.751172,People
410050280,American Indian and Alaska Native alone,8.785921,People
410050280,Asian alone,2549.476812,People
410050280,Black or African American alone,112.850694,People
410050280,Hispanic or Latinx,3090.667214,People
410050280,Native Hawaiian and Other Pacific Islander alone,0,People
410050280,Some other race alone,2.4000000000000003e-4,People
410050280,Two or more races:,3643.878178,People
410050280,White alone,26129.286417,People
410050281,American Indian and Alaska Native alone,0,People
410050281,Asian alone,235.396545,People
410050281,Black or African American alone,20.256186999999997,People
410050281,Hispanic or Latinx,121.860547,People
410050281,Native Hawaiian and Other Pacific Islander alone,0.021878,People
410050281,Some other race alone,0,People
410050281,Two or more races:,627.552812,People
410050281,White alone,9786.378461,People
410050282,American Indian and Alaska Native alone,0,People
410050282,Asian alone,312.95226399999996,People
410050282,Black or African American alone,92.99403299999999,People
410050282,Hispanic or Latinx,126.98011,People
410050282,Native Hawaiian and Other Pacific Islander alone,0,People
410050282,Some other race alone,0,People
410050282,Two or more races:,137.994696,People
410050282,White alone,1733.996022,People
410050283,American Indian and Alaska Native alone,0.003038,People
410050283,Asian alone,3226.838938,People
410050283,Black or African American alone,0.043092,People
410050283,Hispanic or Latinx,3493.65504,People
410050283,Native Hawaiian and Other Pacific Islander alone,0.0060279999999999995,People
410050283,Some other race alone,0.003476,People
410050283,Two or more races:,5531.773526,People
410050283,White alone,40674.985238,People
410050320,American Indian and Alaska Native alone,206.995742,People
410050320,Asian alone,3328.839251,People
410050320,Black or African American alone,817.361775,People
410050320,Hispanic or Latinx,3095.758965,People
410050320,Native Hawaiian and Other Pacific Islander alone,76.186653,People
410050320,Some other race alone,132.027484,People
410050320,Two or more races:,3249.672926,People
410050320,White alone,40680.268283,People
410050321,American Indian and Alaska Native alone,2.1299580000000002,People
410050321,Asian alone,57.657515,People
410050321,Black or African American alone,0.328911,People
410050321,Hispanic or Latinx,6.981429,People
410050321,Native Hawaiian and Other Pacific Islander alone,0.053732,People
410050321,Some other race alone,0.00533,People
410050321,Two or more races:,51.01495799999999,People
410050321,White alone,1399.2001209999999,People
410050322,American Indian and Alaska Native alone,18.923495,People
410050322,Asian alone,40.873529000000005,People
410050322,Black or African American alone,0.047689,People
410050322,Hispanic or Latinx,6.113770000000001,People
410050322,Native Hawaiian and Other Pacific Islander alone,6e-5,People
410050322,Some other race alone,0,People
410050322,Two or more races:,7.828248,People
410050322,White alone,777.073547,People
410050323,American Indian and Alaska Native alone,4.0735090000000005,People
410050323,Asian alone,381.62263,People
410050323,Black or African American alone,123.26410299999999,People
410050323,Hispanic or Latinx,1207.84602,People
410050323,Native Hawaiian and Other Pacific Islander alone,218.77812999999998,People
410050323,Some other race alone,0.561343,People
410050323,Two or more races:,1536.1094679999999,People
410050323,White alone,10960.305859,People
410050330,American Indian and Alaska Native alone,0.142076,People
410050330,Asian alone,51.572598,People
410050330,Black or African American alone,0,People
410050330,Hispanic or Latinx,282.309867,People
410050330,Native Hawaiian and Other Pacific Islander alone,0,People
410050330,Some other race alone,0,People
410050330,Two or more races:,97.498364,People
410050330,White alone,1385.9941840000001,People
410050331,American Indian and Alaska Native alone,0.107904,People
410050331,Asian alone,17.295891,People
410050331,Black or African American alone,0.19448,People
410050331,Hispanic or Latinx,251.410074,People
410050331,Native Hawaiian and Other Pacific Islander alone,0.00556,People
410050331,Some other race alone,0,People
410050331,Two or more races:,8.12606,People
410050331,White alone,523.840211,People
410050332,American Indian and Alaska Native alone,0.010388,People
410050332,Asian alone,39.856928,People
410050332,Black or African American alone,0.0033000000000000004,People
410050332,Hispanic or Latinx,142.35817000000003,People
410050332,Native Hawaiian and Other Pacific Islander alone,6.6e-4,People
410050332,Some other race alone,0,People
410050332,Two or more races:,0.6711079999999999,People
410050332,White alone,507.831788,People
410050333,American Indian and Alaska Native alone,130.932382,People
410050333,Asian alone,285.020528,People
410050333,Black or African American alone,75.655409,People
410050333,Hispanic or Latinx,2771.897972,People
410050333,Native Hawaiian and Other Pacific Islander alone,0.125968,People
410050333,Some other race alone,1.7199999999999998e-4,People
410050333,Two or more races:,1350.971214,People
410050333,White alone,16793.443431,People
410050350,American Indian and Alaska Native alone,3.393834,People
410050350,Asian alone,13.214266000000002,People
410050350,Black or African American alone,8.052895,People
410050350,Hispanic or Latinx,18.267301,People
410050350,Native Hawaiian and Other Pacific Islander alone,0,People
410050350,Some other race alone,0,People
410050350,Two or more races:,14.043592000000002,People
410050350,White alone,1492.9721,People
410050351,American Indian and Alaska Native alone,170.131637,People
410050351,Asian alone,1048.875846,People
410050351,Black or African American alone,386.713605,People
410050351,Hispanic or Latinx,11842.457524,People
410050351,Native Hawaiian and Other Pacific Islander alone,0,People
410050351,Some other race alone,0,People
410050351,Two or more races:,3064.624604,People
410050351,White alone,58849.39781,People
410050352,American Indian and Alaska Native alone,0.06091,People
410050352,Asian alone,9.968691999999999,People
410050352,Black or African American alone,0.00225,People
410050352,Hispanic or Latinx,72.98443,People
410050352,Native Hawaiian and Other Pacific Islander alone,0,People
410050352,Some other race alone,0,People
410050352,Two or more races:,17.473964,People
410050352,White alone,1114.44272,People
410050360,American Indian and Alaska Native alone,13.39462,People
410050360,Asian alone,105.506946,People
410050360,Black or African American alone,6.129558,People
410050360,Hispanic or Latinx,358.075165,People
410050360,Native Hawaiian and Other Pacific Islander alone,0,People
410050360,Some other race alone,0,People
410050360,Two or more races:,249.612716,People
410050360,White alone,11088.015282,People
410050361,American Indian and Alaska Native alone,0,People
410050361,Asian alone,2.42e-4,People
410050361,Black or African American alone,5.28e-4,People
410050361,Hispanic or Latinx,21.879692,People
410050361,Native Hawaiian and Other Pacific Islander alone,0,People
410050361,Some other race alone,0,People
410050361,Two or more races:,13.911347999999998,People
410050361,White alone,41.752641,People
410050362,American Indian and Alaska Native alone,0.161856,People
410050362,Asian alone,108.449096,People
410050362,Black or African American alone,0.003828,People
410050362,Hispanic or Latinx,38.793012999999995,People
410050362,Native Hawaiian and Other Pacific Islander alone,0,People
410050362,Some other race alone,0,People
410050362,Two or more races:,104.63816399999999,People
410050362,White alone,1016.072895,People
410050363,American Indian and Alaska Native alone,0,People
410050363,Asian alone,0,People
410050363,Black or African American alone,0.004928,People
410050363,Hispanic or Latinx,18.116588,People
410050363,Native Hawaiian and Other Pacific Islander alone,0,People
410050363,Some other race alone,0,People
410050363,Two or more races:,33.039108,People
410050363,White alone,982.634404,People
410050364,American Indian and Alaska Native alone,5.04e-4,People
410050364,Asian alone,7.0682599999999995,People
410050364,Black or African American alone,0.41578,People
410050364,Hispanic or Latinx,20.873295,People
410050364,Native Hawaiian and Other Pacific Islander alone,0,People
410050364,Some other race alone,0,People
410050364,Two or more races:,46.86035,People
410050364,White alone,1439.741131,People
410050370,American Indian and Alaska Native alone,0.010164000000000001,People
410050370,Asian alone,10.873134,People
410050370,Black or African American alone,16.11087,People
410050370,Hispanic or Latinx,83.582832,People
410050370,Native Hawaiian and Other Pacific Islander alone,0,People
410050370,Some other race alone,0,People
410050370,Two or more races:,31.643404,People
410050370,White alone,1763.295038,People
410050371,American Indian and Alaska Native alone,93.09602699999999,People
410050371,Asian alone,508.74886,People
410050371,Black or African American alone,166.909683,People
410050371,Hispanic or Latinx,3072.691074,People
410050371,Native Hawaiian and Other Pacific Islander alone,0,People
410050371,Some other race alone,0,People
410050371,Two or more races:,1562.596782,People
410050371,White alone,23430.879225,People
410050372,American Indian and Alaska Native alone,0,People
410050372,Asian alone,0.284784,People
410050372,Black or African American alone,30.850192000000003,People
410050372,Hispanic or Latinx,12.605707,People
410050372,Native Hawaiian and Other Pacific Islander alone,0,People
410050372,Some other race alone,0,People
410050372,Two or more races:,48.643356000000004,People
410050372,White alone,1617.196809,People
410050373,American Indian and Alaska Native alone,4e-6,People
410050373,Asian alone,9.596599,People
410050373,Black or African American alone,17.594476999999998,People
410050373,Hispanic or Latinx,40.026192,People
410050373,Native Hawaiian and Other Pacific Islander alone,0.06891,People
410050373,Some other race alone,0.009659999999999998,People
410050373,Two or more races:,24.419468,People
410050373,White alone,1248.810284,People
410050400,American Indian and Alaska Native alone,1.9332440000000002,People
410050400,Asian alone,100.70074000000001,People
410050400,Black or African American alone,0.024120000000000003,People
410050400,Hispanic or Latinx,333.026881,People
410050400,Native Hawaiian and Other Pacific Islander alone,0.016274999999999998,People
410050400,Some other race alone,0.003729,People
410050400,Two or more races:,112.02824,People
410050400,White alone,3736.930319,People
410050401,American Indian and Alaska Native alone,3.2017059999999997,People
410050401,Asian alone,9.283963,People
410050401,Black or African American alone,0,People
410050401,Hispanic or Latinx,142.671879,People
410050401,Native Hawaiian and Other Pacific Islander alone,0.00132,People
410050401,Some other race alone,0,People
410050401,Two or more races:,90.141624,People
