precinct,education,estimate,units
410050073,"9th to 12th grade, no diploma",340.078378,People
410050073,Associate's degree,884.3445800000001,People
410050073,Bachelor's degree,2719.434525,People
410050073,Graduate or professional degree,1880.567336,People
410050073,High school graduate (includes equivalency),1470.930387,People
410050073,Less than 9th grade,412.372003,People
410050073,"Some college, no degree",2345.489505,People
410050074,"9th to 12th grade, no diploma",95.01664199999999,People
410050074,Associate's degree,164.111156,People
410050074,Bachelor's degree,555.051496,People
410050074,Graduate or professional degree,389.02355,People
410050074,High school graduate (includes equivalency),244.178666,People
410050074,Less than 9th grade,15.046785999999999,People
410050074,"Some college, no degree",371.18023600000004,People
410050100,"9th to 12th grade, no diploma",1.225098,People
410050100,Associate's degree,46.51062,People
410050100,Bachelor's degree,434.735318,People
410050100,Graduate or professional degree,243.72995,People
410050100,High school graduate (includes equivalency),176.241118,People
410050100,Less than 9th grade,0.697368,People
410050100,"Some college, no degree",223.646214,People
410050101,"9th to 12th grade, no diploma",144.950167,People
410050101,Associate's degree,659.414077,People
410050101,Bachelor's degree,1732.062537,People
410050101,Graduate or professional degree,980.263546,People
410050101,High school graduate (includes equivalency),1083.425682,People
410050101,Less than 9th grade,89.825179,People
410050101,"Some college, no degree",1545.996144,People
410050102,"9th to 12th grade, no diploma",180.65478399999998,People
410050102,Associate's degree,464.420826,People
410050102,Bachelor's degree,862.743472,People
410050102,Graduate or professional degree,349.112455,People
410050102,High school graduate (includes equivalency),1039.608978,People
410050102,Less than 9th grade,94.012883,People
410050102,"Some college, no degree",1056.664157,People
410050103,"9th to 12th grade, no diploma",170.699187,People
410050103,Associate's degree,386.846089,People
410050103,Bachelor's degree,1348.696761,People
410050103,Graduate or professional degree,945.80698400000006,People
410050103,High school graduate (includes equivalency),568.339464,People
410050103,Less than 9th grade,79.09546800000001,People
410050103,"Some college, no degree",939.2339430000001,People
410050104,"9th to 12th grade, no diploma",201.154224,People
410050104,Associate's degree,477.75275999999997,People
410050104,Bachelor's degree,1583.858008,People
410050104,Graduate or professional degree,980.529984,People
410050104,High school graduate (includes equivalency),827.84456,People
410050104,Less than 9th grade,69.40392,People
410050104,"Some college, no degree",1106.7711199999999,People
410050105,"9th to 12th grade, no diploma",198.226125,People
410050105,Associate's degree,422.219299,People
410050105,Bachelor's degree,1453.930751,People
410050105,Graduate or professional degree,680.8149900000001,People
410050105,High school graduate (includes equivalency),1047.55332,People
410050105,Less than 9th grade,30.252708,People
410050105,"Some college, no degree",1285.75918,People
410050106,"9th to 12th grade, no diploma",145.054238,People
410050106,Associate's degree,160.2243,People
410050106,Bachelor's degree,219.024272,People
410050106,Graduate or professional degree,87.055536,People
410050106,High school graduate (includes equivalency),503.53950999999995,People
410050106,Less than 9th grade,25.194858,People
410050106,"Some college, no degree",393.414568,People
410050107,"9th to 12th grade, no diploma",364.904187,People
410050107,Associate's degree,674.93923,People
410050107,Bachelor's degree,442.831657,People
410050107,Graduate or professional degree,230.32116100000002,People
410050107,High school graduate (includes equivalency),1177.741789,People
410050107,Less than 9th grade,26.455573,People
410050107,"Some college, no degree",1202.913271,People
410050108,"9th to 12th grade, no diploma",350.227144,People
410050108,Associate's degree,752.191393,People
410050108,Bachelor's degree,726.8760599999999,People
410050108,Graduate or professional degree,365.23313599999994,People
410050108,High school graduate (includes equivalency),1320.847752,People
410050108,Less than 9th grade,24.215962,People
410050108,"Some college, no degree",1663.415696,People
410050111,"9th to 12th grade, no diploma",130.708975,People
410050111,Associate's degree,322.81949,People
410050111,Bachelor's degree,211.38614900000002,People
410050111,Graduate or professional degree,53.245892999999995,People
410050111,High school graduate (includes equivalency),638.235678,People
410050111,Less than 9th grade,36.5691,People
410050111,"Some college, no degree",753.666782,People
410050122,"9th to 12th grade, no diploma",79.1346,People
410050122,Associate's degree,180.618632,People
410050122,Bachelor's degree,433.73312599999997,People
410050122,Graduate or professional degree,161.47212,People
410050122,High school graduate (includes equivalency),527.704889,People
410050122,Less than 9th grade,34.959659,People
410050122,"Some college, no degree",606.143437,People
410050124,"9th to 12th grade, no diploma",45.517089,People
410050124,Associate's degree,113.43451200000001,People
410050124,Bachelor's degree,300.194112,People
410050124,Graduate or professional degree,108.727697,People
410050124,High school graduate (includes equivalency),309.528508,People
410050124,Less than 9th grade,10.623664,People
410050124,"Some college, no degree",419.098783,People
410050125,"9th to 12th grade, no diploma",62.683043000000005,People
410050125,Associate's degree,129.374732,People
410050125,Bachelor's degree,204.364373,People
410050125,Graduate or professional degree,102.853119,People
410050125,High school graduate (includes equivalency),340.709518,People
410050125,Less than 9th grade,41.765973,People
410050125,"Some college, no degree",349.349302,People
410050130,"9th to 12th grade, no diploma",51.194812,People
410050130,Associate's degree,153.626015,People
410050130,Bachelor's degree,729.590955,People
410050130,Graduate or professional degree,412.195645,People
410050130,High school graduate (includes equivalency),220.125271,People
410050130,Less than 9th grade,13.418087,People
410050130,"Some college, no degree",436.24915999999996,People
410050131,"9th to 12th grade, no diploma",80.159987,People
410050131,Associate's degree,114.398787,People
410050131,Bachelor's degree,504.288639,People
410050131,Graduate or professional degree,266.656704,People
410050131,High school graduate (includes equivalency),170.525713,People
410050131,Less than 9th grade,9.603003000000001,People
410050131,"Some college, no degree",283.234673,People
410050132,"9th to 12th grade, no diploma",114.332525,People
410050132,Associate's degree,243.468125,People
410050132,Bachelor's degree,761.992471,People
410050132,Graduate or professional degree,414.507294,People
410050132,High school graduate (includes equivalency),343.92171999999994,People
410050132,Less than 9th grade,32.762259,People
410050132,"Some college, no degree",419.286393,People
410050133,"9th to 12th grade, no diploma",60.737419,People
410050133,Associate's degree,172.588985,People
410050133,Bachelor's degree,703.860523,People
410050133,Graduate or professional degree,412.267387,People
410050133,High school graduate (includes equivalency),235.81256299999998,People
410050133,Less than 9th grade,17.180885,People
410050133,"Some college, no degree",403.593009,People
410050134,"9th to 12th grade, no diploma",27.262843,People
410050134,Associate's degree,54.513685,People
410050134,Bachelor's degree,464.51232,People
410050134,Graduate or professional degree,363.680447,People
410050134,High school graduate (includes equivalency),147.277259,People
410050134,Less than 9th grade,6.241392,People
410050134,"Some college, no degree",182.597293,People
410050135,"9th to 12th grade, no diploma",42.03989,People
410050135,Associate's degree,67.942364,People
410050135,Bachelor's degree,583.223614,People
410050135,Graduate or professional degree,425.385971,People
410050135,High school graduate (includes equivalency),182.858149,People
410050135,Less than 9th grade,14.246934999999999,People
410050135,"Some college, no degree",360.90216699999996,People
410050151,"9th to 12th grade, no diploma",46.147785999999996,People
410050151,Associate's degree,185.274201,People
410050151,Bachelor's degree,1842.069288,People
410050151,Graduate or professional degree,1604.83952,People
410050151,High school graduate (includes equivalency),186.095292,People
410050151,Less than 9th grade,0.003232,People
410050151,"Some college, no degree",615.231684,People
410050152,"9th to 12th grade, no diploma",7.6825980000000005,People
410050152,Associate's degree,46.649472,People
410050152,Bachelor's degree,360.036927,People
410050152,Graduate or professional degree,304.022829,People
410050152,High school graduate (includes equivalency),69.77329900000001,People
410050152,Less than 9th grade,3.572051,People
410050152,"Some college, no degree",142.13368300000002,People
410050153,"9th to 12th grade, no diploma",40.254487999999995,People
410050153,Associate's degree,91.768919,People
410050153,Bachelor's degree,509.53525299999995,People
410050153,Graduate or professional degree,311.884161,People
410050153,High school graduate (includes equivalency),171.277278,People
410050153,Less than 9th grade,5.239508000000001,People
410050153,"Some college, no degree",184.354931,People
410050154,"9th to 12th grade, no diploma",46.363207,People
410050154,Associate's degree,69.22955900000001,People
410050154,Bachelor's degree,599.0688650000001,People
410050154,Graduate or professional degree,584.3227410000001,People
410050154,High school graduate (includes equivalency),208.69235600000002,People
410050154,Less than 9th grade,8.147769,People
410050154,"Some college, no degree",248.62663,People
410050155,"9th to 12th grade, no diploma",17.497925,People
410050155,Associate's degree,71.399385,People
410050155,Bachelor's degree,529.201162,People
410050155,Graduate or professional degree,342.376784,People
410050155,High school graduate (includes equivalency),74.335888,People
410050155,Less than 9th grade,0.043175000000000005,People
410050155,"Some college, no degree",174.017911,People
410050156,"9th to 12th grade, no diploma",1.2925060000000002,People
410050156,Associate's degree,57.761722,People
410050156,Bachelor's degree,536.916793,People
410050156,Graduate or professional degree,378.206577,People
410050156,High school graduate (includes equivalency),61.728259,People
410050156,Less than 9th grade,0.425739,People
410050156,"Some college, no degree",290.210905,People
410050157,"9th to 12th grade, no diploma",12.032996,People
410050157,Associate's degree,49.604175,People
410050157,Bachelor's degree,553.931056,People
410050157,Graduate or professional degree,390.407231,People
410050157,High school graduate (includes equivalency),120.892649,People
410050157,Less than 9th grade,15.629736,People
410050157,"Some college, no degree",233.559429,People
410050158,"9th to 12th grade, no diploma",33.437773,People
410050158,Associate's degree,54.594378000000006,People
410050158,Bachelor's degree,535.890405,People
410050158,Graduate or professional degree,371.554597,People
410050158,High school graduate (includes equivalency),142.60655599999998,People
410050158,Less than 9th grade,7.806949,People
410050158,"Some college, no degree",233.924277,People
410050159,"9th to 12th grade, no diploma",22.410023000000002,People
410050159,Associate's degree,65.134986,People
410050159,Bachelor's degree,705.810727,People
410050159,Graduate or professional degree,393.679849,People
410050159,High school graduate (includes equivalency),140.686838,People
410050159,Less than 9th grade,13.072162,People
410050159,"Some college, no degree",204.787761,People
410050160,"9th to 12th grade, no diploma",70.354111,People
410050160,Associate's degree,99.5013,People
410050160,Bachelor's degree,932.1024620000001,People
410050160,Graduate or professional degree,624.559745,People
410050160,High school graduate (includes equivalency),352.52919,People
410050160,Less than 9th grade,33.802802,People
410050160,"Some college, no degree",609.881476,People
410050201,"9th to 12th grade, no diploma",25.357138,People
410050201,Associate's degree,192.37773199999998,People
410050201,Bachelor's degree,824.6376170000001,People
410050201,Graduate or professional degree,413.396227,People
410050201,High school graduate (includes equivalency),447.357663,People
410050201,Less than 9th grade,13.732768,People
410050201,"Some college, no degree",668.273801,People
410050202,"9th to 12th grade, no diploma",94.785642,People
410050202,Associate's degree,234.21657199999999,People
410050202,Bachelor's degree,712.480591,People
410050202,Graduate or professional degree,271.546891,People
410050202,High school graduate (includes equivalency),334.616257,People
410050202,Less than 9th grade,6.812571,People
410050202,"Some college, no degree",578.423161,People
410050203,"9th to 12th grade, no diploma",0.35229900000000003,People
410050203,Associate's degree,19.384794,People
410050203,Bachelor's degree,437.90606099999997,People
410050203,Graduate or professional degree,351.102153,People
410050203,High school graduate (includes equivalency),178.048511,People
410050203,Less than 9th grade,3.076685,People
410050203,"Some college, no degree",249.288244,People
410050204,"9th to 12th grade, no diploma",77.785834,People
410050204,Associate's degree,151.50614199999998,People
410050204,Bachelor's degree,633.2298499999999,People
410050204,Graduate or professional degree,300.41902,People
410050204,High school graduate (includes equivalency),335.345426,People
410050204,Less than 9th grade,26.722292999999997,People
410050204,"Some college, no degree",570.133839,People
410050251,"9th to 12th grade, no diploma",74.84767500000001,People
410050251,Associate's degree,170.627319,People
410050251,Bachelor's degree,770.4017020000001,People
410050251,Graduate or professional degree,503.081187,People
410050251,High school graduate (includes equivalency),236.510781,People
410050251,Less than 9th grade,0.019944,People
410050251,"Some college, no degree",416.27991299999996,People
410050252,"9th to 12th grade, no diploma",82.182676,People
410050252,Associate's degree,230.222338,People
410050252,Bachelor's degree,1370.772248,People
410050252,Graduate or professional degree,984.4425160000001,People
410050252,High school graduate (includes equivalency),410.596758,People
410050252,Less than 9th grade,1.677596,People
410050252,"Some college, no degree",654.531583,People
410050280,"9th to 12th grade, no diploma",862.099764,People
410050280,Associate's degree,1570.254941,People
410050280,Bachelor's degree,8768.415845,People
410050280,Graduate or professional degree,5326.35176,People
410050280,High school graduate (includes equivalency),3614.24308,People
410050280,Less than 9th grade,45.928889,People
410050280,"Some college, no degree",5432.213427,People
410050281,"9th to 12th grade, no diploma",339.622565,People
410050281,Associate's degree,495.039343,People
410050281,Bachelor's degree,2305.928007,People
410050281,Graduate or professional degree,848.135905,People
410050281,High school graduate (includes equivalency),1501.730516,People
410050281,Less than 9th grade,88.195226,People
410050281,"Some college, no degree",2337.4682629999998,People
410050282,"9th to 12th grade, no diploma",95.984309,People
410050282,Associate's degree,126.990276,People
410050282,Bachelor's degree,484.019448,People
410050282,Graduate or professional degree,397.985635,People
410050282,High school graduate (includes equivalency),205.997127,People
410050282,Less than 9th grade,0.001768,People
410050282,"Some college, no degree",182.045084,People
410050283,"9th to 12th grade, no diploma",351.262242,People
410050283,Associate's degree,1515.908876,People
410050283,Bachelor's degree,14894.681296,People
410050283,Graduate or professional degree,13160.666302,People
410050283,High school graduate (includes equivalency),1409.028666,People
410050283,Less than 9th grade,0.741244,People
410050283,"Some college, no degree",5060.0252629999995,People
410050320,"9th to 12th grade, no diploma",1095.632116,People
410050320,Associate's degree,2698.938656,People
410050320,Bachelor's degree,11652.249892,People
410050320,Graduate or professional degree,7270.722622,People
410050320,High school graduate (includes equivalency),4066.272363,People
410050320,Less than 9th grade,328.179921,People
410050320,"Some college, no degree",6737.443549,People
410050321,"9th to 12th grade, no diploma",60.113603999999995,People
410050321,Associate's degree,60.912915,People
410050321,Bachelor's degree,457.268326,People
410050321,Graduate or professional degree,253.88899299999997,People
410050321,High school graduate (includes equivalency),145.587301,People
410050321,Less than 9th grade,0.055785999999999995,People
410050321,"Some college, no degree",273.678189,People
410050322,"9th to 12th grade, no diploma",25.337793,People
410050322,Associate's degree,53.830805000000005,People
410050322,Bachelor's degree,261.677789,People
410050322,Graduate or professional degree,154.192959,People
410050322,High school graduate (includes equivalency),84.87538500000001,People
410050322,Less than 9th grade,0.098377,People
410050322,"Some college, no degree",139.07806,People
410050323,"9th to 12th grade, no diploma",327.282922,People
410050323,Associate's degree,895.3485019999999,People
410050323,Bachelor's degree,2744.866468,People
410050323,Graduate or professional degree,1338.212915,People
410050323,High school graduate (includes equivalency),1553.681641,People
410050323,Less than 9th grade,6.324292,People
410050323,"Some college, no degree",2617.941139,People
410050330,"9th to 12th grade, no diploma",39.978198,People
410050330,Associate's degree,124.98474,People
410050330,Bachelor's degree,218.83820200000002,People
410050330,Graduate or professional degree,104.741744,People
410050330,High school graduate (includes equivalency),461.56372000000005,People
410050330,Less than 9th grade,81.46880300000001,People
410050330,"Some college, no degree",329.48474500000003,People
410050331,"9th to 12th grade, no diploma",48.433671999999994,People
410050331,Associate's degree,39.507049,People
410050331,Bachelor's degree,81.298881,People
410050331,Graduate or professional degree,51.437349999999995,People
410050331,High school graduate (includes equivalency),97.22404999999999,People
410050331,Less than 9th grade,41.761027,People
410050331,"Some college, no degree",260.829994,People
410050332,"9th to 12th grade, no diploma",2.7366810000000004,People
410050332,Associate's degree,76.78070000000001,People
410050332,Bachelor's degree,170.09160500000002,People
410050332,Graduate or professional degree,43.250953,People
410050332,High school graduate (includes equivalency),52.51283900000001,People
410050332,Less than 9th grade,0.20449,People
410050332,"Some college, no degree",167.964726,People
410050333,"9th to 12th grade, no diploma",611.345928,People
410050333,Associate's degree,1289.128702,People
410050333,Bachelor's degree,3229.275328,People
410050333,Graduate or professional degree,1183.556813,People
410050333,High school graduate (includes equivalency),3724.317468,People
410050333,Less than 9th grade,204.122969,People
410050333,"Some college, no degree",4233.700012,People
410050350,"9th to 12th grade, no diploma",80.546212,People
410050350,Associate's degree,118.51366300000001,People
410050350,Bachelor's degree,189.28013,People
410050350,Graduate or professional degree,66.509633,People
410050350,High school graduate (includes equivalency),486.20297100000005,People
410050350,Less than 9th grade,4.028589,People
410050350,"Some college, no degree",337.262358,People
410050351,"9th to 12th grade, no diploma",2916.360961,People
410050351,Associate's degree,7176.74505,People
410050351,Bachelor's degree,4215.873207,People
410050351,Graduate or professional degree,1228.230363,People
410050351,High school graduate (includes equivalency),15174.380665,People
410050351,Less than 9th grade,1176.99788,People
410050351,"Some college, no degree",17929.465645,People
410050352,"9th to 12th grade, no diploma",40.98021,People
410050352,Associate's degree,78.665722,People
410050352,Bachelor's degree,178.72650099999998,People
410050352,Graduate or professional degree,39.988922,People
410050352,High school graduate (includes equivalency),302.241781,People
410050352,Less than 9th grade,17.105314,People
410050352,"Some college, no degree",282.979628,People
410050360,"9th to 12th grade, no diploma",752.744738,People
410050360,Associate's degree,967.946291,People
410050360,Bachelor's degree,1244.136809,People
410050360,Graduate or professional degree,479.871271,People
410050360,High school graduate (includes equivalency),2861.674985,People
410050360,Less than 9th grade,88.200267,People
410050360,"Some college, no degree",2510.017725,People
410050361,"9th to 12th grade, no diploma",11.190198,People
410050361,Associate's degree,0.507866,People
410050361,Bachelor's degree,15.426390999999999,People
410050361,Graduate or professional degree,0.258625,People
410050361,High school graduate (includes equivalency),13.490963,People
410050361,Less than 9th grade,0.085494,People
410050361,"Some college, no degree",8.137804,People
410050362,"9th to 12th grade, no diploma",88.80111,People
410050362,Associate's degree,69.774669,People
410050362,Bachelor's degree,136.596662,People
410050362,Graduate or professional degree,87.473801,People
410050362,High school graduate (includes equivalency),259.086736,People
410050362,Less than 9th grade,10.445176,People
410050362,"Some college, no degree",328.000837,People
410050363,"9th to 12th grade, no diploma",92.50264200000001,People
410050363,Associate's degree,68.575506,People
410050363,Bachelor's degree,48.808222,People
410050363,Graduate or professional degree,69.19172,People
410050363,High school graduate (includes equivalency),488.872026,People
410050363,Less than 9th grade,18.115304,People
410050363,"Some college, no degree",159.104854,People
410050364,"9th to 12th grade, no diploma",164.93388000000002,People
410050364,Associate's degree,127.678586,People
410050364,Bachelor's degree,157.504517,People
410050364,Graduate or professional degree,61.629808000000004,People
410050364,High school graduate (includes equivalency),413.052909,People
410050364,Less than 9th grade,15.41488,People
410050364,"Some college, no degree",310.064059,People
410050370,"9th to 12th grade, no diploma",133.12329499999998,People
410050370,Associate's degree,166.31036799999998,People
410050370,Bachelor's degree,235.434253,People
410050370,Graduate or professional degree,129.446508,People
410050370,High school graduate (includes equivalency),408.38595200000003,People
410050370,Less than 9th grade,6.273732,People
410050370,"Some college, no degree",499.885356,People
410050371,"9th to 12th grade, no diploma",1095.867541,People
410050371,Associate's degree,2999.5987,People
410050371,Bachelor's degree,2940.556676,People
410050371,Graduate or professional degree,1384.189888,People
410050371,High school graduate (includes equivalency),5038.826689,People
410050371,Less than 9th grade,105.477613,People
410050371,"Some college, no degree",6264.388473,People
410050372,"9th to 12th grade, no diploma",136.978781,People
410050372,Associate's degree,163.63233200000002,People
410050372,Bachelor's degree,166.363772,People
410050372,Graduate or professional degree,26.132872,People
410050372,High school graduate (includes equivalency),472.79240400000003,People
410050372,Less than 9th grade,13.268527000000002,People
410050372,"Some college, no degree",473.123777,People
410050373,"9th to 12th grade, no diploma",101.753582,People
410050373,Associate's degree,102.531302,People
410050373,Bachelor's degree,164.718626,People
410050373,Graduate or professional degree,108.890391,People
410050373,High school graduate (includes equivalency),274.81005400000004,People
410050373,Less than 9th grade,6.0714950000000005,People
410050373,"Some college, no degree",360.328083,People
410050400,"9th to 12th grade, no diploma",170.922323,People
410050400,Associate's degree,486.337893,People
410050400,Bachelor's degree,609.6913890000001,People
410050400,Graduate or professional degree,417.225798,People
410050400,High school graduate (includes equivalency),907.810603,People
410050400,Less than 9th grade,36.076303,People
410050400,"Some college, no degree",913.924479,People
410050401,"9th to 12th grade, no diploma",50.60586,People
410050401,Associate's degree,139.20160499999997,People
410050401,Bachelor's degree,234.43147399999998,People
410050401,Graduate or professional degree,88.61717699999998,People
410050401,High school graduate (includes equivalency),477.377587,People
410050401,Less than 9th grade,9.594973,People
410050401,"Some college, no degree",372.084006,People
410050402,"9th to 12th grade, no diploma",63.08043,People
410050402,Associate's degree,337.858796,People
410050402,Bachelor's degree,604.086308,People
410050402,Graduate or professional degree,430.734103,People
410050402,High school graduate (includes equivalency),961.759136,People
410050402,Less than 9th grade,6.2275100000000005,People
410050402,"Some college, no degree",1046.38565,People
410050403,"9th to 12th grade, no diploma",63.923433,People
410050403,Associate's degree,157.556529,People
410050403,Bachelor's degree,297.893669,People
410050403,Graduate or professional degree,114.64746500000001,People
410050403,High school graduate (includes equivalency),418.99721900000003,People
410050403,Less than 9th grade,0.066236,People
410050403,"Some college, no degree",668.772642,People
410050404,"9th to 12th grade, no diploma",88.25053799999999,People
410050404,Associate's degree,140.809201,People
410050404,Bachelor's degree,129.244042,People
410050404,Graduate or professional degree,89.099333,People
410050404,High school graduate (includes equivalency),394.13958299999996,People
410050404,Less than 9th grade,17.703877,People
410050404,"Some college, no degree",486.436202,People
410050405,"9th to 12th grade, no diploma",108.419033,People
410050405,Associate's degree,126.813204,People
410050405,Bachelor's degree,102.279987,People
410050405,Graduate or professional degree,69.878067,People
410050405,High school graduate (includes equivalency),419.00847799999997,People
410050405,Less than 9th grade,9.678765,People
410050405,"Some college, no degree",396.383072,People
410050406,"9th to 12th grade, no diploma",79.089899,People
410050406,Associate's degree,94.437466,People
410050406,Bachelor's degree,114.73176699999999,People
410050406,Graduate or professional degree,57.78404999999999,People
410050406,High school graduate (includes equivalency),478.54164699999995,People
410050406,Less than 9th grade,19.679804999999998,People
410050406,"Some college, no degree",365.207274,People
410050410,"9th to 12th grade, no diploma",123.403308,People
410050410,Associate's degree,372.668976,People
410050410,Bachelor's degree,1244.047722,People
410050410,Graduate or professional degree,720.74712,People
410050410,High school graduate (includes equivalency),595.579531,People
410050410,Less than 9th grade,230.61105,People
410050410,"Some college, no degree",1146.491619,People
410050411,"9th to 12th grade, no diploma",311.470727,People
410050411,Associate's degree,649.197301,People
410050411,Bachelor's degree,1858.47289,People
410050411,Graduate or professional degree,1068.251826,People
410050411,High school graduate (includes equivalency),1376.355912,People
410050411,Less than 9th grade,124.5319,People
410050411,"Some college, no degree",1896.883305,People
410050412,"9th to 12th grade, no diploma",151.231267,People
410050412,Associate's degree,383.967087,People
410050412,Bachelor's degree,632.119284,People
410050412,Graduate or professional degree,235.655576,People
410050412,High school graduate (includes equivalency),964.797465,People
