precinct,age_group,estimate,units
410050031,70 to 74 years,105.717523,People
410050031,75 to 79 years,66.88359899999999,People
410050031,80 to 84 years,52.973987,People
410050031,85 years and over,42.829477,People
410050031,Under 5 years,80.52823699999999,People
410050032,10 to 14 years,111.110526,People
410050032,15 to 17 years,74.177024,People
410050032,18 and 19 years,28.044917,People
410050032,20 years,8.969028,People
410050032,21 years,37.398138,People
410050032,22 to 24 years,37.942018,People
410050032,25 to 29 years,179.075127,People
410050032,30 to 34 years,145.430478,People
410050032,35 to 39 years,139.213481,People
410050032,40 to 44 years,81.20289,People
410050032,45 to 49 years,122.434326,People
410050032,5 to 9 years,102.41696800000001,People
410050032,50 to 54 years,121.498144,People
410050032,55 to 59 years,105.688637,People
410050032,60 and 61 years,95.187697,People
410050032,62 to 64 years,56.513252,People
410050032,65 and 66 years,32.043111,People
410050032,67 to 69 years,28.983610000000002,People
410050032,70 to 74 years,86.484584,People
410050032,75 to 79 years,100.551089,People
410050032,80 to 84 years,41.890991,People
410050032,85 years and over,64.72305200000001,People
410050032,Under 5 years,45.154575,People
410050033,10 to 14 years,151.87484099999998,People
410050033,15 to 17 years,41.03515,People
410050033,18 and 19 years,59.687912999999995,People
410050033,20 years,13.492466,People
410050033,21 years,27.526411999999997,People
410050033,22 to 24 years,48.532199,People
410050033,25 to 29 years,138.397933,People
410050033,30 to 34 years,156.31026799999998,People
410050033,35 to 39 years,171.702102,People
410050033,40 to 44 years,106.856177,People
410050033,45 to 49 years,111.987438,People
410050033,5 to 9 years,78.504999,People
410050033,50 to 54 years,111.96752899999998,People
410050033,55 to 59 years,120.36635999999999,People
410050033,60 and 61 years,63.13005999999999,People
410050033,62 to 64 years,67.974186,People
410050033,65 and 66 years,74.333688,People
410050033,67 to 69 years,60.21116,People
410050033,70 to 74 years,94.36552999999999,People
410050033,75 to 79 years,47.00371,People
410050033,80 to 84 years,31.871966,People
410050033,85 years and over,10.483291999999999,People
410050033,Under 5 years,82.667459,People
410050051,10 to 14 years,43.243003,People
410050051,15 to 17 years,41.951263,People
410050051,18 and 19 years,11.837989,People
410050051,20 years,12.858092000000001,People
410050051,21 years,4.330805000000001,People
410050051,22 to 24 years,35.096963,People
410050051,25 to 29 years,92.59497300000001,People
410050051,30 to 34 years,98.531851,People
410050051,35 to 39 years,106.993608,People
410050051,40 to 44 years,81.598373,People
410050051,45 to 49 years,49.606274,People
410050051,5 to 9 years,45.417607000000004,People
410050051,50 to 54 years,64.387404,People
410050051,55 to 59 years,90.027201,People
410050051,60 and 61 years,50.758501,People
410050051,62 to 64 years,103.506038,People
410050051,65 and 66 years,43.690833000000005,People
410050051,67 to 69 years,75.47374400000001,People
410050051,70 to 74 years,95.810297,People
410050051,75 to 79 years,48.367173,People
410050051,80 to 84 years,51.448307,People
410050051,85 years and over,54.450063,People
410050051,Under 5 years,66.05910300000001,People
410050052,10 to 14 years,78.649721,People
410050052,15 to 17 years,53.026255000000006,People
410050052,18 and 19 years,33.685817,People
410050052,20 years,51.916603,People
410050052,21 years,1.4191660000000001,People
410050052,22 to 24 years,62.97429,People
410050052,25 to 29 years,167.878119,People
410050052,30 to 34 years,184.968582,People
410050052,35 to 39 years,154.625887,People
410050052,40 to 44 years,81.96512700000001,People
410050052,45 to 49 years,138.053542,People
410050052,5 to 9 years,72.380357,People
410050052,50 to 54 years,115.43819800000001,People
410050052,55 to 59 years,123.93895,People
410050052,60 and 61 years,39.465929,People
410050052,62 to 64 years,80.018282,People
410050052,65 and 66 years,45.252238,People
410050052,67 to 69 years,102.53476500000001,People
410050052,70 to 74 years,55.535959000000005,People
410050052,75 to 79 years,39.285705,People
410050052,80 to 84 years,27.860953,People
410050052,85 years and over,35.064242,People
410050052,Under 5 years,119.390842,People
410050053,10 to 14 years,47.719488,People
410050053,15 to 17 years,50.390750000000004,People
410050053,18 and 19 years,1.1898289999999998,People
410050053,20 years,17.832714,People
410050053,21 years,1.69281,People
410050053,22 to 24 years,33.693524000000004,People
410050053,25 to 29 years,126.68854900000001,People
410050053,30 to 34 years,120.836139,People
410050053,35 to 39 years,151.81800800000002,People
410050053,40 to 44 years,77.773002,People
410050053,45 to 49 years,88.104532,People
410050053,5 to 9 years,66.82238,People
410050053,50 to 54 years,78.045191,People
410050053,55 to 59 years,102.216098,People
410050053,60 and 61 years,16.978272,People
410050053,62 to 64 years,73.712285,People
410050053,65 and 66 years,20.856469,People
410050053,67 to 69 years,42.317687,People
410050053,70 to 74 years,67.724787,People
410050053,75 to 79 years,42.053964,People
410050053,80 to 84 years,31.295785000000002,People
410050053,85 years and over,15.405329000000002,People
410050053,Under 5 years,52.419954,People
410050054,10 to 14 years,159.007428,People
410050054,15 to 17 years,54.601066,People
410050054,18 and 19 years,15.164439,People
410050054,20 years,75.59261699999999,People
410050054,21 years,8.009447999999999,People
410050054,22 to 24 years,46.91111,People
410050054,25 to 29 years,121.13893499999999,People
410050054,30 to 34 years,119.404326,People
410050054,35 to 39 years,165.67968199999999,People
410050054,40 to 44 years,196.389964,People
410050054,45 to 49 years,96.226608,People
410050054,5 to 9 years,119.471809,People
410050054,50 to 54 years,89.220514,People
410050054,55 to 59 years,129.16713299999998,People
410050054,60 and 61 years,42.823330999999996,People
410050054,62 to 64 years,106.459361,People
410050054,65 and 66 years,19.188685,People
410050054,67 to 69 years,63.39224899999999,People
410050054,70 to 74 years,117.243932,People
410050054,75 to 79 years,38.784214,People
410050054,80 to 84 years,37.08642,People
410050054,85 years and over,62.053675,People
410050054,Under 5 years,110.27665599999999,People
410050055,10 to 14 years,63.844485,People
410050055,15 to 17 years,41.643361,People
410050055,18 and 19 years,26.474176,People
410050055,20 years,14.847183,People
410050055,21 years,3.799283,People
410050055,22 to 24 years,35.067451,People
410050055,25 to 29 years,165.24395900000002,People
410050055,30 to 34 years,105.8174,People
410050055,35 to 39 years,92.979159,People
410050055,40 to 44 years,105.538436,People
410050055,45 to 49 years,67.76715899999999,People
410050055,5 to 9 years,139.58527899999999,People
410050055,50 to 54 years,110.743147,People
410050055,55 to 59 years,129.64657300000002,People
410050055,60 and 61 years,39.981757,People
410050055,62 to 64 years,72.047788,People
410050055,65 and 66 years,15.681496,People
410050055,67 to 69 years,54.735416,People
410050055,70 to 74 years,71.807061,People
410050055,75 to 79 years,62.681811,People
410050055,80 to 84 years,47.994901,People
410050055,85 years and over,30.536576999999998,People
410050055,Under 5 years,62.565506,People
410050070,10 to 14 years,514,People
410050070,15 to 17 years,194,People
410050070,18 and 19 years,50,People
410050070,20 years,0,People
410050070,21 years,0,People
410050070,22 to 24 years,20,People
410050070,25 to 29 years,104,People
410050070,30 to 34 years,102,People
410050070,35 to 39 years,182,People
410050070,40 to 44 years,232,People
410050070,45 to 49 years,340,People
410050070,5 to 9 years,294,People
410050070,50 to 54 years,538,People
410050070,55 to 59 years,556,People
410050070,60 and 61 years,254,People
410050070,62 to 64 years,224,People
410050070,65 and 66 years,104,People
410050070,67 to 69 years,172,People
410050070,70 to 74 years,164,People
410050070,75 to 79 years,130,People
410050070,80 to 84 years,124,People
410050070,85 years and over,84,People
410050070,Under 5 years,124,People
410050071,10 to 14 years,22.000055,People
410050071,15 to 17 years,43.000682,People
410050071,18 and 19 years,0.001185,People
410050071,20 years,11.001399000000001,People
410050071,21 years,0,People
410050071,22 to 24 years,7.000511,People
410050071,25 to 29 years,115.999608,People
410050071,30 to 34 years,117.99948099999999,People
410050071,35 to 39 years,130.000301,People
410050071,40 to 44 years,68.001495,People
410050071,45 to 49 years,30.001350000000002,People
410050071,5 to 9 years,54.000243,People
410050071,50 to 54 years,77.000674,People
410050071,55 to 59 years,108.999304,People
410050071,60 and 61 years,38.999907,People
410050071,62 to 64 years,148.99875,People
410050071,65 and 66 years,65.99898599999999,People
410050071,67 to 69 years,101.999111,People
410050071,70 to 74 years,149.997975,People
410050071,75 to 79 years,51.000555,People
410050071,80 to 84 years,19.999920999999997,People
410050071,85 years and over,19.000631,People
410050071,Under 5 years,54.999264,People
410050072,10 to 14 years,566.749639,People
410050072,15 to 17 years,501.837678,People
410050072,18 and 19 years,261.20565,People
410050072,20 years,358.870148,People
410050072,21 years,20.036968,People
410050072,22 to 24 years,223.05504,People
410050072,25 to 29 years,701.133985,People
410050072,30 to 34 years,799.973487,People
410050072,35 to 39 years,979.937615,People
410050072,40 to 44 years,561.141144,People
410050072,45 to 49 years,613.933216,People
410050072,5 to 9 years,475.172599,People
410050072,50 to 54 years,656.638223,People
410050072,55 to 59 years,554.274705,People
410050072,60 and 61 years,183.106816,People
410050072,62 to 64 years,447.150275,People
410050072,65 and 66 years,280.684365,People
410050072,67 to 69 years,489.182429,People
410050072,70 to 74 years,326.01225,People
410050072,75 to 79 years,166.842669,People
410050072,80 to 84 years,172.570231,People
410050072,85 years and over,177.817919,People
410050072,Under 5 years,544.8884,People
410050073,10 to 14 years,862.104426,People
410050073,15 to 17 years,904.547516,People
410050073,18 and 19 years,307.168061,People
410050073,20 years,218.885836,People
410050073,21 years,141.05207,People
410050073,22 to 24 years,516.917429,People
410050073,25 to 29 years,601.615965,People
410050073,30 to 34 years,501.48341899999997,People
410050073,35 to 39 years,828.603625,People
410050073,40 to 44 years,1003.434211,People
410050073,45 to 49 years,1181.911255,People
410050073,5 to 9 years,426.346517,People
410050073,50 to 54 years,1276.314767,People
410050073,55 to 59 years,757.665871,People
410050073,60 and 61 years,419.642471,People
410050073,62 to 64 years,707.245392,People
410050073,65 and 66 years,547.703353,People
410050073,67 to 69 years,455.297421,People
410050073,70 to 74 years,402.988637,People
410050073,75 to 79 years,207.4917,People
410050073,80 to 84 years,179.696157,People
410050073,85 years and over,120.598277,People
410050073,Under 5 years,506.369198,People
410050074,10 to 14 years,191.060602,People
410050074,15 to 17 years,176.047414,People
410050074,18 and 19 years,138.999372,People
410050074,20 years,0.010048,People
410050074,21 years,38.039249999999996,People
410050074,22 to 24 years,100.98869599999999,People
410050074,25 to 29 years,123.037052,People
410050074,30 to 34 years,59.06594,People
410050074,35 to 39 years,112.082896,People
410050074,40 to 44 years,286.06028799999996,People
410050074,45 to 49 years,275.012874,People
410050074,5 to 9 years,177.011618,People
410050074,50 to 54 years,236.995604,People
410050074,55 to 59 years,140.136276,People
410050074,60 and 61 years,32.034853999999996,People
410050074,62 to 64 years,48.03454,People
410050074,65 and 66 years,62.051182,People
410050074,67 to 69 years,60.031085999999995,People
410050074,70 to 74 years,81.02260799999999,People
410050074,75 to 79 years,44.048356,People
410050074,80 to 84 years,17.013188,People
410050074,85 years and over,19.014758,People
410050074,Under 5 years,99.038308,People
410050100,10 to 14 years,210.293248,People
410050100,15 to 17 years,29.861362,People
410050100,18 and 19 years,20.421056,People
410050100,20 years,0.729736,People
410050100,21 years,29.312368,People
410050100,22 to 24 years,72.72429600000001,People
410050100,25 to 29 years,27.413538,People
410050100,30 to 34 years,58.70681,People
410050100,35 to 39 years,115.52914200000001,People
410050100,40 to 44 years,104.807944,People
410050100,45 to 49 years,153.025856,People
410050100,5 to 9 years,84.699542,People
410050100,50 to 54 years,145.51189399999998,People
410050100,55 to 59 years,119.71938200000001,People
410050100,60 and 61 years,67.435302,People
410050100,62 to 64 years,31.765072000000004,People
410050100,65 and 66 years,48.64162,People
410050100,67 to 69 years,49.542542,People
410050100,70 to 74 years,82.53849600000001,People
410050100,75 to 79 years,59.043736,People
410050100,80 to 84 years,40.457506,People
410050100,85 years and over,13.393204,People
410050100,Under 5 years,43.39477,People
410050101,10 to 14 years,593.567048,People
410050101,15 to 17 years,521.623047,People
410050101,18 and 19 years,225.027216,People
410050101,20 years,66.728471,People
410050101,21 years,40.837138,People
410050101,22 to 24 years,285.476465,People
410050101,25 to 29 years,536.100268,People
410050101,30 to 34 years,498.810112,People
410050101,35 to 39 years,1047.412949,People
410050101,40 to 44 years,717.522792,People
410050101,45 to 49 years,754.832765,People
410050101,5 to 9 years,805.639323,People
410050101,50 to 54 years,524.849858,People
410050101,55 to 59 years,518.416226,People
410050101,60 and 61 years,170.41948,People
410050101,62 to 64 years,357.114255,People
410050101,65 and 66 years,115.464506,People
410050101,67 to 69 years,209.332717,People
410050101,70 to 74 years,240.888756,People
410050101,75 to 79 years,144.320249,People
410050101,80 to 84 years,84.884788,People
410050101,85 years and over,23.200281,People
410050101,Under 5 years,451.266933,People
410050102,10 to 14 years,348.432714,People
410050102,15 to 17 years,261.31217499999997,People
410050102,18 and 19 years,109.083553,People
410050102,20 years,76.440186,People
410050102,21 years,68.15359199999999,People
410050102,22 to 24 years,154.965804,People
410050102,25 to 29 years,327.659159,People
410050102,30 to 34 years,434.18121499999995,People
410050102,35 to 39 years,433.93295199999994,People
410050102,40 to 44 years,485.322395,People
410050102,45 to 49 years,455.11503999999996,People
410050102,5 to 9 years,564.90958,People
410050102,50 to 54 years,435.363075,People
410050102,55 to 59 years,304.372461,People
410050102,60 and 61 years,125.208061,People
410050102,62 to 64 years,137.50916899999999,People
410050102,65 and 66 years,102.44196,People
410050102,67 to 69 years,195.166269,People
410050102,70 to 74 years,226.931485,People
410050102,75 to 79 years,193.013724,People
410050102,80 to 84 years,39.978853,People
410050102,85 years and over,45.870675,People
410050102,Under 5 years,317.885836,People
410050103,10 to 14 years,421.11684199999996,People
410050103,15 to 17 years,346.53254300000003,People
410050103,18 and 19 years,180.72399399999998,People
410050103,20 years,36.895236000000004,People
410050103,21 years,80.118971,People
410050103,22 to 24 years,256.399229,People
410050103,25 to 29 years,296.487535,People
410050103,30 to 34 years,166.72668000000002,People
410050103,35 to 39 years,311.767027,People
410050103,40 to 44 years,526.4414390000001,People
410050103,45 to 49 years,585.993428,People
410050103,5 to 9 years,291.499874,People
410050103,50 to 54 years,534.472313,People
410050103,55 to 59 years,379.23553300000003,People
410050103,60 and 61 years,175.27839600000001,People
410050103,62 to 64 years,235.26836500000002,People
410050103,65 and 66 years,174.42216000000002,People
410050103,67 to 69 years,182.595666,People
410050103,70 to 74 years,188.39606,People
410050103,75 to 79 years,104.590512,People
410050103,80 to 84 years,83.994767,People
410050103,85 years and over,69.128103,People
410050103,Under 5 years,245.523762,People
410050104,10 to 14 years,648.728272,People
410050104,15 to 17 years,392.407592,People
410050104,18 and 19 years,256.07344,People
410050104,20 years,30.007344,People
410050104,21 years,71.47736,People
410050104,22 to 24 years,365.2656,People
410050104,25 to 29 years,302.227664,People
410050104,30 to 34 years,290.139536,People
410050104,35 to 39 years,654.386776,People
410050104,40 to 44 years,701.2313359999999,People
410050104,45 to 49 years,622.8824960000001,People
410050104,5 to 9 years,579.305992,People
410050104,50 to 54 years,569.59608,People
410050104,55 to 59 years,519.71604,People
410050104,60 and 61 years,192.93390399999998,People
410050104,62 to 64 years,280.7246,People
410050104,65 and 66 years,152.49572,People
410050104,67 to 69 years,179.14687999999998,People
410050104,70 to 74 years,179.20195999999999,People
410050104,75 to 79 years,95.539784,People
410050104,80 to 84 years,45.113832,People
410050104,85 years and over,38.172584,People
410050104,Under 5 years,307.047736,People
410050105,10 to 14 years,564.99177,People
410050105,15 to 17 years,328.806362,People
410050105,18 and 19 years,230.320852,People
410050105,20 years,26.715286000000003,People
410050105,21 years,61.705126,People
410050105,22 to 24 years,446.907348,People
410050105,25 to 29 years,469.607014,People
410050105,30 to 34 years,396.43617,People
410050105,35 to 39 years,408.691222,People
410050105,40 to 44 years,405.045563,People
410050105,45 to 49 years,586.905302,People
410050105,5 to 9 years,329.554808,People
410050105,50 to 54 years,613.8359849999999,People
410050105,55 to 59 years,429.101969,People
410050105,60 and 61 years,159.501959,People
410050105,62 to 64 years,138.329844,People
410050105,65 and 66 years,178.013798,People
410050105,67 to 69 years,213.110925,People
410050105,70 to 74 years,225.330523,People
410050105,75 to 79 years,203.280622,People
410050105,80 to 84 years,67.29896600000001,People
410050105,85 years and over,36.147931,People
410050105,Under 5 years,331.424664,People
410050106,10 to 14 years,154.126074,People
410050106,15 to 17 years,111.970388,People
410050106,18 and 19 years,29.074434,People
410050106,20 years,9.049216000000001,People
410050106,21 years,31.834174,People
410050106,22 to 24 years,50.8309,People
410050106,25 to 29 years,102.252218,People
410050106,30 to 34 years,239.485682,People
410050106,35 to 39 years,82.10032999999999,People
410050106,40 to 44 years,121.980842,People
410050106,45 to 49 years,158.19105,People
410050106,5 to 9 years,108.324128,People
410050106,50 to 54 years,131.456954,People
410050106,55 to 59 years,159.620588,People
410050106,60 and 61 years,20.240014,People
410050106,62 to 64 years,68.453272,People
410050106,65 and 66 years,46.689396,People
410050106,67 to 69 years,61.785095999999996,People
410050106,70 to 74 years,100.787828,People
410050106,75 to 79 years,22.951871999999998,People
410050106,80 to 84 years,17.840038,People
410050106,85 years and over,81.303982,People
410050106,Under 5 years,126.666252,People
410050107,10 to 14 years,468.31277,People
410050107,15 to 17 years,263.78394,People
410050107,18 and 19 years,73.577076,People
410050107,20 years,104.11374400000001,People
410050107,21 years,67.128414,People
410050107,22 to 24 years,170.847949,People
410050107,25 to 29 years,252.986612,People
410050107,30 to 34 years,391.792309,People
410050107,35 to 39 years,465.446133,People
410050107,40 to 44 years,419.234999,People
410050107,45 to 49 years,462.909843,People
410050107,5 to 9 years,346.38575000000003,People
410050107,50 to 54 years,290.86426,People
410050107,55 to 59 years,317.10221,People
410050107,60 and 61 years,279.558884,People
410050107,62 to 64 years,219.08024500000002,People
410050107,65 and 66 years,166.20345,People
410050107,67 to 69 years,123.717685,People
410050107,70 to 74 years,163.581606,People
410050107,75 to 79 years,127.72162200000001,People
410050107,80 to 84 years,33.475503,People
410050107,85 years and over,72.198921,People
410050107,Under 5 years,402.13817800000004,People
410050108,10 to 14 years,689.135511,People
410050108,15 to 17 years,387.51617699999997,People
410050108,18 and 19 years,66.451262,People
410050108,20 years,135.560621,People
410050108,21 years,55.035694,People
410050108,22 to 24 years,258.02658499999995,People
410050108,25 to 29 years,436.278299,People
410050108,30 to 34 years,685.653278,People
410050108,35 to 39 years,711.632451,People
410050108,40 to 44 years,502.411655,People
410050108,45 to 49 years,467.292369,People
410050108,5 to 9 years,554.524604,People
410050108,50 to 54 years,270.717138,People
410050108,55 to 59 years,359.417456,People
410050108,60 and 61 years,264.71029899999996,People
410050108,62 to 64 years,242.113044,People
410050108,65 and 66 years,192.742336,People
410050108,67 to 69 years,163.514703,People
410050108,70 to 74 years,201.04641800000002,People
410050108,75 to 79 years,155.80019,People
410050108,80 to 84 years,66.448776,People
410050108,85 years and over,135.05211699999998,People
410050108,Under 5 years,558.537651,People
410050111,10 to 14 years,263.007932,People
410050111,15 to 17 years,134.10582100000002,People
410050111,18 and 19 years,113.69009700000001,People
410050111,20 years,13.031168000000001,People
410050111,21 years,27.107851,People
410050111,22 to 24 years,64.165889,People
410050111,25 to 29 years,203.500492,People
410050111,30 to 34 years,204.99814,People
410050111,35 to 39 years,197.701726,People
410050111,40 to 44 years,306.272062,People
410050111,45 to 49 years,233.279762,People
410050111,5 to 9 years,299.453695,People
410050111,50 to 54 years,142.896733,People
410050111,55 to 59 years,226.64958,People
410050111,60 and 61 years,86.78868,People
410050111,62 to 64 years,63.026039,People
410050111,65 and 66 years,94.652298,People
410050111,67 to 69 years,94.223628,People
410050111,70 to 74 years,91.96065200000001,People
410050111,75 to 79 years,70.23063,People
410050111,80 to 84 years,34.662372,People
410050111,85 years and over,25.763588,People
410050111,Under 5 years,219.73797700000003,People
410050122,10 to 14 years,323.834271,People
