precinct,hh_type_1,hh_type_2,estimate,units
410050051,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",20.826127,Households
410050051,"Male householder, no spouse or partner present:",Living alone,133.75061100000002,Households
410050051,"Male householder, no spouse or partner present:",With only nonrelatives present,3.8958239999999997,Households
410050051,"Male householder, no spouse or partner present:",With own children under 18 years,12.117309,Households
410050051,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",7.672454,Households
410050051,Married-couple household:,With no own children under 18 years,154.629567,Households
410050051,Married-couple household:,With own children under 18 years,73.11272100000001,Households
410050052,Cohabiting couple household:,With no own children of the householder under 18 years,81.74946200000001,Households
410050052,Cohabiting couple household:,With own children of the householder under 18 years,12.063817,Households
410050052,"Female householder, no spouse or partner present:",Living alone,122.165813,Households
410050052,"Female householder, no spouse or partner present:",With only nonrelatives present,27.776332,Households
410050052,"Female householder, no spouse or partner present:",With own children under 18 years,24.78235,Households
410050052,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",21.646755,Households
410050052,"Male householder, no spouse or partner present:",Living alone,91.956226,Households
410050052,"Male householder, no spouse or partner present:",With only nonrelatives present,5.869854999999999,Households
410050052,"Male householder, no spouse or partner present:",With own children under 18 years,2.2634109999999996,Households
410050052,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",41.973756,Households
410050052,Married-couple household:,With no own children under 18 years,220.982557,Households
410050052,Married-couple household:,With own children under 18 years,122.67483200000001,Households
410050053,Cohabiting couple household:,With no own children of the householder under 18 years,38.987182,Households
410050053,Cohabiting couple household:,With own children of the householder under 18 years,10.578534000000001,Households
410050053,"Female householder, no spouse or partner present:",Living alone,122.977411,Households
410050053,"Female householder, no spouse or partner present:",With only nonrelatives present,7.707533,Households
410050053,"Female householder, no spouse or partner present:",With own children under 18 years,51.285624999999996,Households
410050053,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",16.496456,Households
410050053,"Male householder, no spouse or partner present:",Living alone,53.685477,Households
410050053,"Male householder, no spouse or partner present:",With only nonrelatives present,10.088826,Households
410050053,"Male householder, no spouse or partner present:",With own children under 18 years,10.598370000000001,Households
410050053,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",23.352208,Households
410050053,Married-couple household:,With no own children under 18 years,195.843274,Households
410050053,Married-couple household:,With own children under 18 years,52.914331,Households
410050054,Cohabiting couple household:,With no own children of the householder under 18 years,23.064978,Households
410050054,Cohabiting couple household:,With own children of the householder under 18 years,27.600021999999996,Households
410050054,"Female householder, no spouse or partner present:",Living alone,138.56360899999999,Households
410050054,"Female householder, no spouse or partner present:",With only nonrelatives present,12.873384,Households
410050054,"Female householder, no spouse or partner present:",With own children under 18 years,53.687415,Households
410050054,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",28.531710999999998,Households
410050054,"Male householder, no spouse or partner present:",Living alone,92.079093,Households
410050054,"Male householder, no spouse or partner present:",With only nonrelatives present,5.591253,Households
410050054,"Male householder, no spouse or partner present:",With own children under 18 years,12.814822,Households
410050054,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",11.143156,Households
410050054,Married-couple household:,With no own children under 18 years,251.04603799999998,Households
410050054,Married-couple household:,With own children under 18 years,154.713629,Households
410050055,Cohabiting couple household:,With no own children of the householder under 18 years,52.332958,Households
410050055,Cohabiting couple household:,With own children of the householder under 18 years,12.589737,Households
410050055,"Female householder, no spouse or partner present:",Living alone,83.268338,Households
410050055,"Female householder, no spouse or partner present:",With only nonrelatives present,6.710324,Households
410050055,"Female householder, no spouse or partner present:",With own children under 18 years,20.30284,Households
410050055,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",18.227459,Households
410050055,"Male householder, no spouse or partner present:",Living alone,96.626982,Households
410050055,"Male householder, no spouse or partner present:",With only nonrelatives present,7.578505000000001,Households
410050055,"Male householder, no spouse or partner present:",With own children under 18 years,9.447809,Households
410050055,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",13.315026,Households
410050055,Married-couple household:,With no own children under 18 years,219.5715,Households
410050055,Married-couple household:,With own children under 18 years,83.947558,Households
410050070,Cohabiting couple household:,With no own children of the householder under 18 years,0,Households
410050070,Cohabiting couple household:,With own children of the householder under 18 years,18,Households
410050070,"Female householder, no spouse or partner present:",Living alone,302,Households
410050070,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050070,"Female householder, no spouse or partner present:",With own children under 18 years,54,Households
410050070,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",16,Households
410050070,"Male householder, no spouse or partner present:",Living alone,54,Households
410050070,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050070,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410050070,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0,Households
410050070,Married-couple household:,With no own children under 18 years,884,Households
410050070,Married-couple household:,With own children under 18 years,516,Households
410050071,Cohabiting couple household:,With no own children of the householder under 18 years,52.999696,Households
410050071,Cohabiting couple household:,With own children of the householder under 18 years,10.999856,Households
410050071,"Female householder, no spouse or partner present:",Living alone,260.002216,Households
410050071,"Female householder, no spouse or partner present:",With only nonrelatives present,11.000064,Households
410050071,"Female householder, no spouse or partner present:",With own children under 18 years,5.000747,Households
410050071,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",12.999792,Households
410050071,"Male householder, no spouse or partner present:",Living alone,165.000092,Households
410050071,"Male householder, no spouse or partner present:",With only nonrelatives present,0.00111,Households
410050071,"Male householder, no spouse or partner present:",With own children under 18 years,11.999823,Households
410050071,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",2.55e-4,Households
410050071,Married-couple household:,With no own children under 18 years,175.997831,Households
410050071,Married-couple household:,With own children under 18 years,87.999976,Households
410050072,Cohabiting couple household:,With no own children of the householder under 18 years,370.847346,Households
410050072,Cohabiting couple household:,With own children of the householder under 18 years,78.24988,Households
410050072,"Female householder, no spouse or partner present:",Living alone,410.934208,Households
410050072,"Female householder, no spouse or partner present:",With only nonrelatives present,158.540766,Households
410050072,"Female householder, no spouse or partner present:",With own children under 18 years,111.00259799999999,Households
410050072,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",187.261463,Households
410050072,"Male householder, no spouse or partner present:",Living alone,415.991392,Households
410050072,"Male householder, no spouse or partner present:",With only nonrelatives present,12.387431,Households
410050072,"Male householder, no spouse or partner present:",With own children under 18 years,6.438448999999999,Households
410050072,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",209.052954,Households
410050072,Married-couple household:,With no own children under 18 years,1082.611284,Households
410050072,Married-couple household:,With own children under 18 years,705.162452,Households
410050073,Cohabiting couple household:,With no own children of the householder under 18 years,257.400667,Households
410050073,Cohabiting couple household:,With own children of the householder under 18 years,38.150819,Households
410050073,"Female householder, no spouse or partner present:",Living alone,476.96475100000004,Households
410050073,"Female householder, no spouse or partner present:",With only nonrelatives present,168.483178,Households
410050073,"Female householder, no spouse or partner present:",With own children under 18 years,35.031307,Households
410050073,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",52.927693,Households
410050073,"Male householder, no spouse or partner present:",Living alone,405.960747,Households
410050073,"Male householder, no spouse or partner present:",With only nonrelatives present,203.166937,Households
410050073,"Male householder, no spouse or partner present:",With own children under 18 years,44.802773,Households
410050073,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",81.592863,Households
410050073,Married-couple household:,With no own children under 18 years,1636.42094,Households
410050073,Married-couple household:,With own children under 18 years,1275.663986,Households
410050074,Cohabiting couple household:,With no own children of the householder under 18 years,0.027632,Households
410050074,Cohabiting couple household:,With own children of the householder under 18 years,0.00471,Households
410050074,"Female householder, no spouse or partner present:",Living alone,58.020095999999995,Households
410050074,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050074,"Female householder, no spouse or partner present:",With own children under 18 years,14.998743999999999,Households
410050074,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",13.001256,Households
410050074,"Male householder, no spouse or partner present:",Living alone,79.00942,Households
410050074,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050074,"Male householder, no spouse or partner present:",With own children under 18 years,12.002198,Households
410050074,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0.014444,Households
410050074,Married-couple household:,With no own children under 18 years,304.11994799999997,Households
410050074,Married-couple household:,With own children under 18 years,344.027004,Households
410050100,Cohabiting couple household:,With no own children of the householder under 18 years,8.402444000000001,Households
410050100,Cohabiting couple household:,With own children of the householder under 18 years,8.14938,Households
410050100,"Female householder, no spouse or partner present:",Living alone,24.676676000000004,Households
410050100,"Female householder, no spouse or partner present:",With only nonrelatives present,7.113246,Households
410050100,"Female householder, no spouse or partner present:",With own children under 18 years,12.98812,Households
410050100,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",31.130172,Households
410050100,"Male householder, no spouse or partner present:",Living alone,19.155344,Households
410050100,"Male householder, no spouse or partner present:",With only nonrelatives present,5.911884000000001,Households
410050100,"Male householder, no spouse or partner present:",With own children under 18 years,0.359786,Households
410050100,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0.069188,Households
410050100,Married-couple household:,With no own children under 18 years,270.775766,Households
410050100,Married-couple household:,With own children under 18 years,142.350444,Households
410050101,Cohabiting couple household:,With no own children of the householder under 18 years,86.056705,Households
410050101,Cohabiting couple household:,With own children of the householder under 18 years,39.262079,Households
410050101,"Female householder, no spouse or partner present:",Living alone,255.76782,Households
410050101,"Female householder, no spouse or partner present:",With only nonrelatives present,2.4700300000000004,Households
410050101,"Female householder, no spouse or partner present:",With own children under 18 years,78.824588,Households
410050101,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",52.793928,Households
410050101,"Male householder, no spouse or partner present:",Living alone,143.917592,Households
410050101,"Male householder, no spouse or partner present:",With only nonrelatives present,41.954092,Households
410050101,"Male householder, no spouse or partner present:",With own children under 18 years,52.142589,Households
410050101,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",93.838999,Households
410050101,Married-couple household:,With no own children under 18 years,1135.945711,Households
410050101,Married-couple household:,With own children under 18 years,1043.192345,Households
410050102,Cohabiting couple household:,With no own children of the householder under 18 years,84.106375,Households
410050102,Cohabiting couple household:,With own children of the householder under 18 years,100.296047,Households
410050102,"Female householder, no spouse or partner present:",Living alone,249.158534,Households
410050102,"Female householder, no spouse or partner present:",With only nonrelatives present,9.12088,Households
410050102,"Female householder, no spouse or partner present:",With own children under 18 years,30.790868,Households
410050102,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",154.64048,Households
410050102,"Male householder, no spouse or partner present:",Living alone,109.881172,Households
410050102,"Male householder, no spouse or partner present:",With only nonrelatives present,58.990328,Households
410050102,"Male householder, no spouse or partner present:",With own children under 18 years,29.958086999999995,Households
410050102,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",35.223021,Households
410050102,Married-couple household:,With no own children under 18 years,556.695165,Households
410050102,Married-couple household:,With own children under 18 years,559.182285,Households
410050103,Cohabiting couple household:,With no own children of the householder under 18 years,83.154259,Households
410050103,Cohabiting couple household:,With own children of the householder under 18 years,0.584152,Households
410050103,"Female householder, no spouse or partner present:",Living alone,217.30086,Households
410050103,"Female householder, no spouse or partner present:",With only nonrelatives present,18.969284,Households
410050103,"Female householder, no spouse or partner present:",With own children under 18 years,26.159715,Households
410050103,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",30.623892,Households
410050103,"Male householder, no spouse or partner present:",Living alone,156.743854,Households
410050103,"Male householder, no spouse or partner present:",With only nonrelatives present,52.7261,Households
410050103,"Male householder, no spouse or partner present:",With own children under 18 years,22.229479,Households
410050103,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",9.239548000000001,Households
410050103,Married-couple household:,With no own children under 18 years,763.483473,Households
410050103,Married-couple household:,With own children under 18 years,671.932657,Households
410050104,Cohabiting couple household:,With no own children of the householder under 18 years,44.161567999999995,Households
410050104,Cohabiting couple household:,With own children of the householder under 18 years,0.05508,Households
410050104,"Female householder, no spouse or partner present:",Living alone,137.157896,Households
410050104,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050104,"Female householder, no spouse or partner present:",With own children under 18 years,69.838432,Households
410050104,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",20.03672,Households
410050104,"Male householder, no spouse or partner present:",Living alone,189.992656,Households
410050104,"Male householder, no spouse or partner present:",With only nonrelatives present,71.735616,Households
410050104,"Male householder, no spouse or partner present:",With own children under 18 years,47.937576,Households
410050104,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",76.88616800000001,Households
410050104,Married-couple household:,With no own children under 18 years,983.025704,Households
410050104,Married-couple household:,With own children under 18 years,820.827416,Households
410050105,Cohabiting couple household:,With no own children of the householder under 18 years,113.863496,Households
410050105,Cohabiting couple household:,With own children of the householder under 18 years,31.689168,Households
410050105,"Female householder, no spouse or partner present:",Living alone,284.14689,Households
410050105,"Female householder, no spouse or partner present:",With only nonrelatives present,32.673375,Households
410050105,"Female householder, no spouse or partner present:",With own children under 18 years,56.449313,Households
410050105,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",57.822913,Households
410050105,"Male householder, no spouse or partner present:",Living alone,181.69734100000002,Households
410050105,"Male householder, no spouse or partner present:",With only nonrelatives present,70.701356,Households
410050105,"Male householder, no spouse or partner present:",With own children under 18 years,9.406011,Households
410050105,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",30.038527000000002,Households
410050105,Married-couple household:,With no own children under 18 years,859.659768,Households
410050105,Married-couple household:,With own children under 18 years,685.855707,Households
410050106,Cohabiting couple household:,With no own children of the householder under 18 years,26.62434,Households
410050106,Cohabiting couple household:,With own children of the householder under 18 years,21.191947999999996,Households
410050106,"Female householder, no spouse or partner present:",Living alone,108.699748,Households
410050106,"Female householder, no spouse or partner present:",With only nonrelatives present,3.469296,Households
410050106,"Female householder, no spouse or partner present:",With own children under 18 years,15.671232,Households
410050106,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",16.878388,Households
410050106,"Male householder, no spouse or partner present:",Living alone,85.107162,Households
410050106,"Male householder, no spouse or partner present:",With only nonrelatives present,0.013872,Households
410050106,"Male householder, no spouse or partner present:",With own children under 18 years,9.188544,Households
410050106,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",14.884382,Households
410050106,Married-couple household:,With no own children under 18 years,321.650908,Households
410050106,Married-couple household:,With own children under 18 years,154.46932,Households
410050107,Cohabiting couple household:,With no own children of the householder under 18 years,124.516281,Households
410050107,Cohabiting couple household:,With own children of the householder under 18 years,139.595026,Households
410050107,"Female householder, no spouse or partner present:",Living alone,273.601107,Households
410050107,"Female householder, no spouse or partner present:",With only nonrelatives present,46.251763,Households
410050107,"Female householder, no spouse or partner present:",With own children under 18 years,79.549471,Households
410050107,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",91.072283,Households
410050107,"Male householder, no spouse or partner present:",Living alone,236.152671,Households
410050107,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050107,"Male householder, no spouse or partner present:",With own children under 18 years,82.448728,Households
410050107,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",52.451352,Households
410050107,Married-couple household:,With no own children under 18 years,522.526081,Households
410050107,Married-couple household:,With own children under 18 years,484.29113,Households
410050108,Cohabiting couple household:,With no own children of the householder under 18 years,161.641652,Households
410050108,Cohabiting couple household:,With own children of the householder under 18 years,138.467131,Households
410050108,"Female householder, no spouse or partner present:",Living alone,289.619752,Households
410050108,"Female householder, no spouse or partner present:",With only nonrelatives present,19.71267,Households
410050108,"Female householder, no spouse or partner present:",With own children under 18 years,156.61952599999998,Households
410050108,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",116.27481499999999,Households
410050108,"Male householder, no spouse or partner present:",Living alone,235.856987,Households
410050108,"Male householder, no spouse or partner present:",With only nonrelatives present,0.76464,Households
410050108,"Male householder, no spouse or partner present:",With own children under 18 years,94.827099,Households
410050108,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",51.174572000000005,Households
410050108,Married-couple household:,With no own children under 18 years,790.780574,Households
410050108,Married-couple household:,With own children under 18 years,699.618863,Households
410050111,Cohabiting couple household:,With no own children of the householder under 18 years,52.999594,Households
410050111,Cohabiting couple household:,With own children of the householder under 18 years,27.556452,Households
410050111,"Female householder, no spouse or partner present:",Living alone,133.370696,Households
410050111,"Female householder, no spouse or partner present:",With only nonrelatives present,1.231136,Households
410050111,"Female householder, no spouse or partner present:",With own children under 18 years,44.579019,Households
410050111,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",41.548619,Households
410050111,"Male householder, no spouse or partner present:",Living alone,137.362636,Households
410050111,"Male householder, no spouse or partner present:",With only nonrelatives present,10.495032,Households
410050111,"Male householder, no spouse or partner present:",With own children under 18 years,14.353579,Households
410050111,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",31.066686,Households
410050111,Married-couple household:,With no own children under 18 years,332.720109,Households
410050111,Married-couple household:,With own children under 18 years,310.807506,Households
410050122,Cohabiting couple household:,With no own children of the householder under 18 years,29.237727,Households
